City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
298,weno,75,FM,1686505065,83,7.4515,151.8468,82.35,4.61
299,santiago de cao,2,CL,1686504900,62,-33.4569,-70.6483,59.29,4.61
300,minab,32,IR,1686505066,39,27.1467,57.0801,93.87,2.73
301,santa flavia,100,PH,1686505066,89,17.486,120.4348,77.2,6.29
302,shingu,100,JP,1686505066,98,33.7333,135.9833,69.53,1.86
303,henderson,0,US,1686504773,18,36.0397,-114.9819,83.82,20.71
304,san jose village,85,ML,1686504995,49,13.3034,-4.8956,83.05,16.22
305,fauske,100,NO,1686505067,94,67.2588,15.3918,50.04,3.67
306,ji'an,59,CN,1686505067,89,27.1172,114.9793,75.94,2.3
307,barranca,87,PE,1686505067,68,-10.75,-77.7667,73.0,11.43
308,kiuruvesi,62,FI,1686505067,44,63.65,26.6167,64.83,8.66
309,hadibu,92,YE,1686505068,78,12.65,54.0333,83.26,15.55
310,anadyr,100,RU,1686505068,93,64.75,177.4833,39.7,6.71
311,muntok,11,ID,1686505068,87,-2.0667,105.1833,79.38,9.44
312,upington,0,ZA,1686505068,22,-28.4478,21.2561,62.98,5.75
313,kapa'a,20,US,1686505069,86,22.0752,-159.319,77.32,11.5
314,gueckedou,95,GN,1686505069,95,8.6667,-10.25,75.49,3.85
315,okha,99,RU,1686505069,95,53.5739,142.9478,43.5,4.52
316,codrington,17,AU,1686505069,80,-38.2667,141.9667,46.11,11.05
317,rio grande,17,GR,1686505028,70,38.3,21.7833,76.75,4.85
318,columbia falls,40,US,1686505026,53,34.0007,-81.0348,87.44,16.11
319,callao,100,PE,1686505070,64,-12.0667,-77.15,77.72,8.05
320,nogliki,91,RU,1686505070,97,51.8333,143.1667,47.07,4.81
321,katsuren-haebaru,100,JP,1686505071,97,26.3369,127.8719,79.18,0.0
322,maceio,75,BR,1686505071,69,-9.6658,-35.7353,83.64,12.66
323,watampone,98,ID,1686505071,88,-4.5386,120.3279,76.51,7.63
324,malvik,0,NO,1686505072,62,63.4333,10.6833,62.19,4.61
325,shindand,0,AF,1686505072,19,33.3029,62.1474,81.34,25.99
326,doka,99,SD,1686505072,59,13.5167,35.7667,82.18,6.96
327,coahuayana de hidalgo,25,MX,1686505072,46,18.7333,-103.6833,93.13,7.58
328,khorinsk,28,RU,1686505072,49,52.1657,109.7726,63.54,1.5
329,karratha,0,AU,1686505073,30,-20.7377,116.8463,67.93,8.28
330,claveria,95,PH,1686505073,78,18.6074,121.0832,80.22,6.42
331,toliara,0,MG,1686505073,84,-23.35,43.6667,69.91,8.95
332,kourou,100,GF,1686505073,73,5.1552,-52.6478,87.85,7.47
333,san antonio oeste,85,ML,1686504995,49,13.3034,-4.8956,83.05,16.22
334,kruisfontein,6,ZA,1686505074,76,-34.0033,24.7314,54.88,1.01
335,sovetskiy,97,RU,1686505074,69,61.3614,63.5842,41.59,13.4
336,beberibe,5,BR,1686505074,71,-4.1797,-38.1306,82.9,10.07
337,greenville,40,US,1686505075,46,35.6127,-77.3663,85.95,9.22
338,sao bento,100,IN,1686505075,55,20.5113,76.2129,82.09,13.22
339,sandnessjoen,75,NO,1686505075,92,66.0217,12.6316,57.72,11.5
340,zdolbuniv,100,UA,1686505075,77,50.5206,26.2425,51.1,15.66
341,zaozersk,91,RU,1686505076,56,69.4005,32.4476,58.91,3.0
342,puerto armuelles,0,ES,1686505076,60,36.5939,-6.233,79.61,17.27
